_id,name,cuisines,price,rating,num_reviews,address,popular_dishes,phone_number,location,opening_hours
1,Wildseed,"['vegetarian', 'vegan', 'cocktail bars']",,4.5,505,"855 El Camino Real Building 4 S, Palo Alto, CA 94301","['Wild Mushroom Zeppole', 'Mexican Corn Cakes', 'Spicy Sausage Flatbread', 'Neatball Masala', 'Polenta Cakes', 'Yellow Curry', 'Mezze Plate', 'Curried Cauliflower', 'Orecchiette Alla Pugliese', 'Panna Cotta', 'Citrus Almond Cake', 'Impossible Burger', 'Mushroom Fritters', 'Apple Crumble', 'Probiotic Bowl', 'King Trumpet Mushroom Ceviche', 'Ensalada Andalusia', 'Al Pastor Bowl', 'Squash Flatbread', 'Watermelon Salad']",(408) 781-0112,Palo Alto,"['open from 1130 to 2100 on Monday', 'open from 1130 to 2100 on Tuesday', 'open from 1130 to 2100 on Wednesday', 'open from 1130 to 2200 on Thursday', 'open from 1100 to 2200 on Friday', 'open from 1100 to 2100 on Saturday', 'open from 1130 to 2100 on Sunday']"
2,The Public Izakaya,"['izakaya', 'sushi bars', 'ramen']",moderate,4.5,243,"700 Post St, San Francisco, CA 94109","['Korean Fried Chicken Thigh', 'Fiery Wagyu Ramen', 'Pork Belly', 'Chicken Karaage', 'Flaming Footlong Salmon', 'Tonkatsu Ramen', 'Millionaire Tonkotsu', 'Beef Tongue', 'Wagyu Skewers', 'Dynamite Shrimp', 'Chicken Skewers', 'Garlic Shrimp', 'Spicy Tuna Roll', 'Super Kimchi Remix Bibimbap', 'Kamo Kamo', 'Rainbow Roll', 'Corn Tempura', 'Cheesy Oxtail', 'Okonomiyaki', 'Grilled Chicken Wings']",(415) 658-7588,San Francisco,"['open from 1700 to 0200 on Monday', 'open from 1700 to 0200 on Tuesday', 'open from 1700 to 0200 on Wednesday', 'open from 1700 to 0200 on Thursday', 'open from 1700 to 0200 on Friday', 'open from 1700 to 0200 on Saturday', 'open from 1700 to 0200 on Sunday']"
3,Fang,"['chinese', 'asian fusion']",moderate,3.5,1823,"660 Howard St, San Francisco, CA 94105","['Famous Nanking Sesame Chicken', 'Crispy Honey Apple Prawns', 'Prawns', 'Tofu', 'Salted Pork Belly', 'Mongolian Beef Tower', 'Pork Bun', 'Sizzling Rice Soup', 'Steamed Shanghai Soup Dumplings', 'Melt in Your Mouth Fried Calamari', 'Cooling Lettuce Wraps', 'Five Spice Whitefish', 'Panfried Shrimp Dumplings', 'Fragrant Basil Chicken']",(415) 777-8568,San Francisco,"['open from 1100 to 1400 on Monday', 'open from 1730 to 2030 on Monday', 'open from 1100 to 1400 on Tuesday', 'open from 1730 to 2030 on Tuesday', 'open from 1100 to 1400 on Wednesday', 'open from 1730 to 2030 on Wednesday', 'open from 1100 to 1400 on Thursday', 'open from 1730 to 2030 on Thursday', 'open from 1100 to 1400 on Friday', 'open from 1730 to 2030 on Friday', 'open from 1100 to 1400 on Saturday', 'open from 1730 to 2030 on Saturday', 'open from 1100 to 1400 on Sunday', 'open from 1730 to 2030 on Sunday']"
4,Anatolian Kitchen,['mediterranean'],,4.5,27,"340 California Ave, Palo Alto, CA 94306","['Adana Kebab', 'Moussaka', 'Pan Fried Calf Liver', 'Muhammara', 'Lamb Chops', 'Lentil Soup']",(650) 853-9700,Palo Alto,"['open from 1130 to 2100 on Monday', 'open from 1130 to 2100 on Tuesday', 'open from 1130 to 2100 on Wednesday', 'open from 1130 to 2130 on Thursday', 'open from 1130 to 2130 on Friday', 'open from 1130 to 2100 on Saturday', 'open from 1130 to 2100 on Sunday']"
5,Legends Pizza,['pizza'],,3.5,39,"2450 Park Blvd, Palo Alto, CA 94306","['Korean BBQ Signature Pie', 'Creamy Garlic Chicken Signature Pie', 'The Hawaiian BBQ Pork Signature Pie']",(650) 328-1662,Palo Alto,"['open from 1100 to 2000 on Monday', 'open from 1100 to 2000 on Tuesday', 'open from 1100 to 2000 on Wednesday', 'open from 1100 to 2100 on Thursday', 'open from 1100 to 2100 on Friday', 'open from 1100 to 2000 on Saturday', 'open from 1100 to 2000 on Sunday']"
6,Telefèric Barcelona -Palo Alto,"['spanish', 'tapas bars', 'cocktail bars']",expensive,4,1425,"855 El Camino Real, Ste 130, Palo Alto, CA 94301","['Patatas Bravas', 'Empanadas', 'Pulpo Teleferic', 'Crab Croquetas', 'Tuna Tacos', 'La Porca', 'Jamon Iberico', 'Gambas Al Ajillo', 'Spanish Meatballs', 'Churros Con Nutella', 'Ham Croquetas']",(650) 321-0512,Palo Alto,"['open from 1130 to 2115 on Monday', 'open from 1130 to 2115 on Tuesday', 'open from 1130 to 2115 on Wednesday', 'open from 1130 to 2215 on Thursday', 'open from 1100 to 2215 on Friday', 'open from 1100 to 2115 on Saturday', 'open from 1130 to 2115 on Sunday']"
7,Frascati,"['italian', 'american (new)', 'mediterranean']",expensive,4.5,1273,"1901 Hyde St, San Francisco, CA 94109","['Grilled Pork Chop', 'Octopus Salad', 'Grilled Bread Salad', 'Burrata', 'Russet Potato Gnocchi', 'Pan Seared Filet Mignon', 'Vanilla Bean Panna Cotta', 'Roasted Half Chicken', 'Watermelon Salad']",(415) 928-1406,San Francisco,"['open from 1700 to 2100 on Monday', 'open from 1700 to 2100 on Tuesday', 'open from 1700 to 2100 on Wednesday', 'open from 1700 to 2130 on Thursday', 'open from 1700 to 2130 on Friday']"
8,Last Drop Tavern,"['bars', 'american (new)']",moderate,4,473,"550 Powell St, San Francisco, CA 94108","['Fish Tacos', 'Crispy Chicken Sandwiches', 'Bacon Deviled Eggs', 'Fried Chicken Sandwich', 'Fish and Chips', 'Crab Cake Sliders', 'Tomato Soup', 'Beef Sliders', 'Buffalo Wings', 'Guacamole and Chips', 'BBQ Ribs', 'Pulled Pork Sliders']",(415) 989-7131,San Francisco,"['open from 1600 to 0200 on Monday', 'open from 1600 to 0200 on Tuesday', 'open from 1600 to 0200 on Wednesday', 'open from 1600 to 0200 on Thursday', 'open from 1100 to 0200 on Friday', 'open from 1100 to 0200 on Saturday', 'open from 1600 to 0200 on Sunday']"
9,O2 valley,"['taiwanese', 'comfort food']",,4.5,14,"452 University Ave, Palo Alto, CA 94301","['R13. Minced Pork Rice Bento', 'R4. Popcorn Chicken Bento', 'R10. Pork Belly Bento', 'R12. Grilled Eel Bento', 'R17 .three Cup King Oyster Mushroom Bento', 'R5. Fried Pork Chop Bento']",(650) 613-1700,Palo Alto,"['open from 1100 to 2100 on Monday', 'open from 1100 to 2100 on Tuesday', 'open from 1100 to 2100 on Wednesday', 'open from 1100 to 2100 on Thursday', 'open from 1100 to 2100 on Friday', 'open from 1100 to 2100 on Saturday', 'open from 1100 to 2100 on Sunday']"
10,Jack in the Box,"['fast food', 'burgers', 'tacos']",cheap,2.5,108,"2280 El Camino Real, Palo Alto, CA 94306",[],(650) 856-0350,Palo Alto,"['open from 0400 to 0400 on Monday', 'open from 0400 to 0400 on Tuesday', 'open from 0400 to 0400 on Wednesday', 'open from 0400 to 0400 on Thursday', 'open from 0400 to 0400 on Friday', 'open from 0400 to 0400 on Saturday', 'open from 0400 to 0400 on Sunday']"
11,New Fortune Restaurant,['chinese'],cheap,4.5,164,"815 Stockton St, San Francisco, CA 94108","['Wonton Soup', 'Noodle Soup', 'Beef Chow Mein', 'Mongolian Beef', 'Wonton Noodle Soup', 'Sweet and Sour Chicken', 'Chicken Fried Rice', 'Beef Chow Fun', 'Salt and Pepper Pork Chop', 'Beef Fried Rice', 'Beef Noodle Soup', 'Chicken Chow Mein', 'Tomato Beef Chow Mein', 'Mixed Vegetable Chow Mein', 'Beef Stew', 'Stewed Beef Lai Fun', 'Pork Chow Mein', 'Mapo Tofu']",(415) 658-7306,San Francisco,"['open from 1000 to 1900 on Monday', 'open from 1000 to 1900 on Tuesday', 'open from 1000 to 1900 on Wednesday', 'open from 1000 to 1900 on Thursday', 'open from 1000 to 1900 on Friday']"
12,HE&C TEA+POT,"['hot pot', 'bubble tea']",,4.5,87,"544 Emerson St, Palo Alto, CA 94301","['Fried Chicken Wings', 'Pork Floss Cake', 'Special Mushroom Hot Pot']",(650) 521-0069,Palo Alto,"['open from 1130 to 2030 on Monday', 'open from 1130 to 2030 on Tuesday', 'open from 1130 to 2030 on Wednesday', 'open from 1130 to 2130 on Thursday', 'open from 1130 to 2130 on Friday', 'open from 1130 to 2130 on Saturday', 'open from 1130 to 2030 on Sunday']"
13,Slider Buns,"['burgers', 'fast food']",moderate,4,94,"1202 Sutter St, San Francisco, CA 94109","['Bacon Cheeseburger', 'Mushroom Cheeseburger', 'Avocado Cheeseburger']",(415) 885-3288,San Francisco,"['open from 1100 to 2200 on Monday', 'open from 1100 to 2200 on Tuesday', 'open from 1100 to 2200 on Wednesday', 'open from 1100 to 2300 on Thursday', 'open from 1100 to 2300 on Friday', 'open from 1100 to 2200 on Saturday', 'open from 1100 to 2200 on Sunday']"
14,The Lumpia Company,['filipino'],,3,2,"369 California Ave, Palo Alto, CA 94306",[],(415) 992-8206,Palo Alto,"['open from 1100 to 0000 on Monday', 'open from 1100 to 0000 on Tuesday', 'open from 1100 to 0000 on Wednesday', 'open from 1100 to 0000 on Thursday', 'open from 1100 to 0000 on Friday', 'open from 1100 to 0000 on Saturday', 'open from 1100 to 0000 on Sunday']"
15,Son & Garden - Palo Alto,"['american (new)', 'breakfast & brunch', 'cocktail bars']",,4.5,93,"535 Bryant St, Palo Alto, CA 94301","['Fried Chicken Benedict', 'French Toast', 'Matcha', 'Korean Benedict', 'Smoked Salmon Benedict', 'Chicken Panini', 'Bibimbap', 'Lobster Benedict', 'Short Rib', 'Garden Omelette', 'Loco Moco', 'Bear Bacon Panini', 'Frisco Scramble', 'Lavender Spritzer', 'Beef Ribs', 'Egg Benedict', 'Kids Burger', 'Ocean Panini', 'Sunshine Omelet', 'Sunshine Scramble']",(650) 304-3903,Palo Alto,"['open from 0900 to 1500 on Monday', 'open from 0900 to 1500 on Tuesday', 'open from 1700 to 2100 on Tuesday', 'open from 0900 to 1500 on Wednesday', 'open from 1700 to 2100 on Wednesday', 'open from 0900 to 1500 on Thursday', 'open from 1700 to 2200 on Thursday', 'open from 0900 to 1500 on Friday', 'open from 1700 to 2200 on Friday', 'open from 0900 to 1500 on Saturday', 'open from 1700 to 2100 on Saturday', 'open from 0900 to 1500 on Sunday', 'open from 1700 to 2100 on Sunday']"